scene_seed,success,steps,split
300207,1,37,train
300208,1,37,train
300209,1,37,validation
300210,1,37,train
300211,1,37,train
300212,1,37,train
300213,1,37,train
300214,1,37,validation
300215,1,37,train
300216,1,37,train
300217,1,37,train
300218,1,37,train
300219,1,37,validation
300220,1,37,train
300221,1,37,train
300222,1,37,train
300223,1,37,train
300224,1,37,validation
300225,1,37,train
300226,1,37,train
300227,1,37,train
300228,1,37,train
300229,1,37,validation
300230,1,37,train
300231,1,37,train
300232,1,37,train
300233,1,37,train
300234,1,37,validation
300235,1,37,train
300236,1,37,train
300237,1,37,train
300238,1,37,train
300239,1,37,validation
300240,1,36,train
300241,1,37,train
300242,1,37,train
300243,1,37,train
300244,1,37,validation
300245,1,37,train
300246,1,37,train
300247,1,37,train
300248,1,37,train
300249,1,37,validation
300250,1,37,train
300251,1,37,train
300252,1,37,train
300253,1,37,train
300254,1,37,validation
300255,1,37,train
300256,1,37,train
300257,1,37,train
300258,1,37,train
300259,1,38,validation
300260,1,37,train
300261,1,37,train
300262,1,37,train
300263,1,37,train
300264,1,37,validation
300265,1,37,train
300266,1,37,train
300267,1,37,train
300268,1,37,train
300269,1,37,validation
300270,1,37,train
300271,1,37,train
300272,1,37,train
300273,1,37,train
300274,1,37,validation
300275,1,37,train
300276,1,37,train
300277,1,37,train
300278,1,37,train
300279,1,37,validation
300280,1,37,train
300281,1,37,train
300282,1,37,train
300283,1,37,train
300284,1,37,validation
300285,1,38,train
300286,1,37,train
300287,1,37,train
300288,1,37,train
300289,1,37,validation
300290,1,38,train
300291,1,36,train
300292,1,38,train
300293,1,37,train
300294,1,39,validation
300295,1,37,train
300296,1,37,train
300297,1,37,train
300298,1,37,train
300299,1,37,validation
300300,1,37,train
300301,1,37,train
300302,1,37,train
300303,1,37,train
300304,1,37,validation
300305,1,37,train
300306,1,37,train
300307,1,37,train
300308,1,37,train
300309,1,37,validation
300310,1,37,train
300311,1,37,train
300312,1,37,train
300313,1,37,train
300314,1,37,validation
300315,1,37,train
300316,1,37,train
300317,1,37,train
300318,1,37,train
300319,1,37,validation
300320,1,37,train
300321,1,37,train
300322,1,37,train
300323,1,37,train
300324,1,37,validation
300325,1,37,train
300326,1,37,train
300327,1,36,train
300328,1,37,train
300329,1,37,validation
300330,1,37,train
300331,1,37,train
300332,1,37,train
300333,1,37,train
300334,1,37,validation
300335,1,37,train
300336,1,37,train
300337,1,37,train
300338,1,37,train
300339,1,37,validation
300340,1,37,train
300341,1,37,train
300342,1,37,train
300343,1,37,train
300344,1,37,validation
300345,1,37,train
300346,1,37,train
300347,1,37,train
300348,1,37,train
300349,1,37,validation
300350,1,37,train
300351,1,37,train
300352,1,37,train
300353,1,37,train
300354,1,37,validation
300355,1,37,train
300356,1,37,train
300357,1,37,train
300358,1,37,train
300359,1,37,validation
300360,1,37,train
300361,1,37,train
300362,1,37,train
300363,1,37,train
300364,1,37,validation
300365,1,37,train
300366,1,37,train
300367,1,38,train
300368,1,36,train
300369,1,37,validation
300370,1,37,train
300371,1,37,train
300372,1,37,train
300373,1,37,train
300374,1,37,validation
300375,1,38,train
300376,1,37,train
300377,1,37,train
300378,1,37,train
300379,1,37,validation
300380,1,37,train
300381,1,37,train
300382,1,37,train
300383,1,37,train
300384,1,37,validation
300385,1,37,train
300386,1,37,train
300387,1,37,train
300388,1,37,train
300389,1,37,validation
300390,1,37,train
300391,1,37,train
300392,1,37,train
300393,1,37,train
300394,1,37,validation
300395,1,37,train
300396,1,37,train
300397,1,37,train
300398,1,37,train
300399,1,37,validation
300400,1,37,train
300401,1,37,train
300402,1,38,train
300403,1,37,train
300404,1,37,validation
300405,1,37,train
300406,1,37,train
300407,1,37,train
300408,1,37,train
300409,1,37,validation
300410,1,37,train
300411,1,37,train
300412,1,37,train
300413,1,37,train
300414,1,37,validation
300415,1,37,train
300416,1,37,train
300417,1,37,train
300418,1,36,train
300419,1,37,validation
300420,1,37,train
300421,1,38,train
300422,1,37,train
300423,1,37,train
300424,1,37,validation
300425,1,37,train
300426,1,37,train
300427,1,37,train
300428,1,37,train
300429,1,37,validation
300430,1,37,train
300431,1,37,train
300432,1,37,train
300433,1,37,train
300434,1,37,validation
300435,1,37,train
300436,1,37,train
300437,1,37,train
300438,1,36,train
300439,1,37,validation
300440,1,37,train
300441,1,37,train
300442,1,37,train
300443,1,37,train
300444,1,37,validation
300445,1,37,train
300446,1,37,train
300447,1,37,train
300448,1,37,train
300449,1,37,validation
300450,1,37,train
300451,1,37,train
300452,1,37,train
300453,1,37,train
300454,1,37,validation
300455,1,37,train
300456,1,37,train
300457,1,37,train
300458,1,37,train
300459,1,37,validation
300460,1,37,train
300461,1,37,train
300462,1,37,train
300463,1,37,train
300464,1,37,validation
300465,1,37,train
300466,1,37,train
300467,1,38,train
300468,1,37,train
300469,1,37,validation
300470,1,37,train
300471,1,37,train
300472,1,37,train
300473,1,37,train
300474,1,37,validation
300475,1,37,train
300476,1,37,train
300477,1,37,train
300478,1,37,train
300479,1,37,validation
300480,1,38,train
300481,1,37,train
300482,1,37,train
300483,1,37,train
300484,1,37,validation
300485,1,37,train
300486,1,37,train
300487,1,37,train
300488,1,37,train
300489,1,37,validation
300490,1,37,train
300491,1,37,train
300492,1,37,train
300493,1,37,train
300494,1,37,validation
300495,1,37,train
300496,1,37,train
300497,1,37,train
300498,1,36,train
300499,1,37,validation
300500,1,37,train
300501,1,37,train
300502,1,37,train
300503,1,37,train
300504,1,37,validation
300505,1,38,train
300506,1,37,train
300507,1,37,train
300508,1,37,train
300509,1,37,validation
300510,1,37,train
300511,1,37,train
300512,1,37,train
300513,1,37,train
300514,1,37,validation
300515,1,37,train
300516,1,37,train
300517,1,37,train
300518,1,37,train
300519,1,37,validation
300520,1,36,train
300521,1,37,train
300522,1,37,train
300523,1,37,train
300524,1,37,validation
300525,1,37,train
300526,1,37,train
300527,1,37,train
300528,1,37,train
300529,1,37,validation
300530,1,37,train
300531,1,37,train
300532,1,38,train
300533,1,37,train
300534,1,37,validation
300535,1,37,train
300536,1,37,train
300537,1,37,train
300538,1,37,train
300539,1,37,validation
300540,1,37,train
300541,1,37,train
300542,1,37,train
300543,1,37,train
300544,1,37,validation
300545,1,37,train
300546,1,37,train
300547,1,37,train
300548,1,37,train
300549,1,37,validation
300550,1,37,train
300551,1,37,train
300552,1,37,train
300553,1,37,train
300554,1,37,validation
300555,1,37,train
300556,1,37,train
300557,1,37,train
300558,1,37,train
300559,1,37,validation
300560,1,37,train
300561,1,37,train
300562,1,37,train
300563,1,37,train
300564,1,37,validation
300565,1,38,train
300566,1,37,train
300567,1,37,train
300568,1,37,train
300569,1,37,validation
300570,1,37,train
300571,1,37,train
300572,1,37,train
300573,1,37,train
300574,1,37,validation
300575,1,37,train
300576,1,37,train
300577,1,37,train
300578,1,37,train
300579,1,37,validation
300580,1,37,train
300581,1,37,train
300582,1,37,train
300583,1,37,train
300584,1,37,validation
300585,1,37,train
300586,1,37,train
300587,1,37,train
300588,1,37,train
300589,1,37,validation
300590,1,37,train
300591,1,37,train
300592,1,37,train
300593,1,37,train
300594,1,37,validation
300595,1,37,train
300596,1,37,train
300597,1,37,train
300598,1,37,train
300599,1,37,validation
